v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
29,77,77,34.9,8.2,17.1,0.1,0.6,8.1,16.5,0.483,4.8,5.7,0.7,5.3,6.2,1.1,0.5,2.6,2.3,21.2,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,1,0.1,1.1,2.2,17.13838507
27,70,70,33.9,8.2,17.8,2.4,6.4,5.8,11.4,0.527,2.3,2.7,0.9,3.1,3,0.8,0.4,1.5,2.5,21,17,0.553,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4,1.7,5.6,0.114,2.1,-1,1,1.8,17.13176566
23,73,73,34.8,6.8,16.6,1.6,4.8,5.2,11.8,0.461,2.8,4.1,1.1,3.7,2.5,1,0.7,1.9,2.1,18.1,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3,-0.6,17.12986491
24,64,64,33.7,9.1,18.7,1.2,4.1,7.8,14.6,0.517,8.2,10.1,2.5,11.1,3.7,0.7,1.9,3.5,3.3,27.5,26.1,0.593,0.219,0.541,8.1,34,21.4,18.4,1,4.4,13.2,33.3,4.9,3.8,8.7,0.194,4,0.9,4.9,3.8,17.12986491
23,80,80,31.3,7.7,15.1,1,3.4,6.7,11.7,0.545,3.6,4.4,2.9,8,7.3,1.4,0.7,3.1,2.9,20.1,26.3,0.589,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7,17.12986491
22,81,81,30.2,8.1,18.7,2.9,7.8,5.2,10.9,0.512,2,2.5,0.7,3.2,7,1.2,0.2,3.1,1.7,21.1,19.4,0.533,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5,0.097,4,-0.6,3.4,3.4,17.12184766
22,64,64,35,9.2,19.6,2.1,6.5,7,13.1,0.521,6.1,7.1,0.6,3.5,6.8,0.9,0.2,4.1,3.1,26.6,20.2,0.584,0.33,0.362,1.9,11.3,6.5,34.1,1.2,0.5,15.4,32.9,3.3,0.3,3.5,0.076,3.3,-2.3,1,1.7,17.12184766
23,77,77,33.1,8.8,17.1,1.8,4.6,7,12.5,0.572,4.9,5.8,3.4,9,3.4,0.9,1.6,3.1,3.8,24.4,26.3,0.622,0.27,0.342,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,7.2,3.2,10.4,0.197,5.4,0.6,6,5.1,17.12184766
25,56,43,30.1,5.3,11.5,1.9,4.6,3.5,6.9,0.546,1.4,1.7,1,4.6,2.1,1.5,0.6,1.2,1.9,13.9,15.9,0.569,0.398,0.149,3.4,17,10.1,10.6,2.3,1.6,8.7,19.1,1.8,1.5,3.2,0.093,0.8,0.1,0.9,1.2,17.12058518
25,79,79,33.5,7.1,13.3,0.1,0.5,7,12.8,0.536,3.1,5.2,5.4,10.2,1.4,1.7,1.7,2.2,3.4,17.3,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10,0.181,1.3,0.8,2.1,2.7,17.11478665
25,82,82,36.9,9.3,19.6,2.5,7.3,6.8,12.4,0.54,4.4,5.5,1.1,3.9,5.5,1.5,0.7,2.7,2.8,25.6,20.8,0.581,0.37,0.278,3.1,11.7,7.4,24.1,1.9,1.6,11,28.4,5.9,1.7,7.6,0.12,3.8,-0.8,2.9,3.7,17.11478665
25,56,56,33,9.5,18.3,0.9,2.6,8.6,15.7,0.54,6.1,7.7,3.1,8.9,3.9,1.6,2.4,2,2.4,25.9,30.3,0.597,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,6.4,3.1,9.5,0.247,7.1,2.3,9.4,5.3,17.11478661
